account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Scout24 Holding GmbH,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/scout24-holding-gmbh/,
Scribd,1,Spectrum Equity,spectrum-equity,no,official_site,,
Seagate,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/seagate/,
Seagate Technology,1,Silver Lake,silver-lake,no,wikipedia,https://en.wikipedia.org/wiki/Seagate_Technology,https://en.wikipedia.org/wiki/Seagate_Technology
Sebia,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/sebia/,
Sectigo Comodo,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/sectigo-comodo,
SecureLink,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/securelink/,
Securonix,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/securonix/,
Sedgwick CMS,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/sedgwick-cms/,
Seequent,1,Accel-KKR,accel-kkr,no,official_site,,
SEER,1,Genstar Capital,genstar-capital,yes,official_site,,
Seesaw,1,Providence Equity Partners,providence-equity,yes,geig_article|official_site,,
Segall Bryant Hamill,1,Thoma Bravo,thoma-bravo,no,official_site,,
Seisint,1,Spectrum Equity,spectrum-equity,no,official_site,,
Seiyu Group,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Seiyu_Group,https://en.wikipedia.org/wiki/Seiyu_Group
Select Medical,1,"Welsh, Carson, Anderson & Stowe",wcas,yes,official_site,,
Selecta (company),1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Selecta_%28company%29,https://en.wikipedia.org/wiki/Selecta_%28company%29
Sensata Technologies,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/sensata-technologies/,
SenseTime,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/sensetime/,
Sensor Tower,1,Accel-KKR,accel-kkr,no,official_site,,
Septeo,1,Hg,hg,no,official_site,,
Sequel,1,Hg,hg,no,official_site,,
SER Solutions,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/ser/,
Serena,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/serena/,
Serrala,1,Hg,hg,no,official_site,,
Service Compression,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/service-compression/,
ServiceMax,1,Silver Lake,silver-lake,no,official_site|wikipedia,https://www.silverlake.com/portfolio/servicemax/,https://en.wikipedia.org/wiki/ServiceMax
ServiceTitan,1,Thoma Bravo,thoma-bravo,no,official_site,,
Servpro,1,Blackstone,blackstone,yes,wikipedia,https://en.wikipedia.org/wiki/Servpro,https://en.wikipedia.org/wiki/Servpro
SESAC,1,Blackstone,blackstone,yes,wikipedia,https://en.wikipedia.org/wiki/SESAC,https://en.wikipedia.org/wiki/SESAC
SFC KOENIG,1,Hg,hg,no,official_site,,
Shadowbox Studios,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/shadowbox/,
Shepperton Studios,1,Warburg Pincus,warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/Shepperton_Studios,https://en.wikipedia.org/wiki/Shepperton_Studios
